No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1459;419.141878;330.250857;36.341421;52.109208;1.070255;1.433879;0.697409;0.684127;41.000000;0.716674;140.080000;0.689030;-6.582139e-01;9.908593e-01
2;F-11904a-x40-06.tif;1561;525.552210;289.680974;34.858560;57.737414;1.124827;1.656334;0.603743;0.596209;44.000000;0.797179;148.542000;0.671657;-9.437314e-01;9.829346e-01
3;F-11904a-x40-06.tif;5371;540.622417;389.932415;74.624106;100.449360;1.821392;1.346071;0.742903;0.677752;616.000000;0.669399;350.618000;0.746160;3.811034e-02;9.885803e-01
4;F-11904a-x40-06.tif;2320;578.246983;439.360345;51.052265;58.218169;1.060288;1.140364;0.876913;0.871527;83.000000;0.480649;175.817000;0.707219;3.419315e-02;8.691355e-01
5;F-11904a-x40-06.tif;1739;584.606671;345.340426;39.065136;58.266223;1.201146;1.491515;0.670459;0.652193;75.000000;0.741946;162.014000;0.689006;-4.358231e-01;9.359524e-01
6;F-11904a-x40-06.tif;2132;612.382739;400.946529;42.785426;64.001199;1.081138;1.495864;0.668510;0.662706;53.000000;0.743703;170.192000;0.705729;1.526036e-01;9.088427e-01
7;F-11904a-x40-06.tif;1225;618.266939;461.855510;39.320260;39.984541;1.001568;1.016894;0.983387;0.975578;35.000000;0.181524;124.169000;0.698047;-1.447807e+00;9.498833e-01
8;F-11904a-x40-06.tif;2113;627.976810;349.512068;43.496972;62.352766;1.073228;1.433497;0.697595;0.691987;78.000000;0.716492;168.811000;0.683080;-5.972524e-01;9.150608e-01
9;F-11904a-x40-06.tif;1450;662.016552;318.513103;40.993152;46.690622;1.123329;1.138986;0.877974;0.846874;96.000000;0.478708;143.068000;0.783215;1.829236e-01;9.321724e-01
10;F-11904a-x40-06.tif;2014;688.508937;417.484608;42.903097;60.332806;1.050739;1.406258;0.711107;0.704470;51.000000;0.703084;163.073000;0.714398;1.093685e-01;8.989126e-01
11;F-11904a-x40-06.tif;1011;683.950544;495.891197;33.957412;38.660087;1.147413;1.138487;0.878358;0.861263;85.000000;0.478003;120.737000;0.715535;1.548694e-01;9.082696e-01
12;F-11904a-x40-06.tif;1385;700.376173;461.744404;37.298743;47.487753;1.042065;1.273173;0.785439;0.781982;44.000000;0.618939;134.672000;0.748229;-8.343776e-01;9.397134e-01
13;F-11904a-x40-06.tif;590;711.983051;499.562712;25.059814;30.605219;1.060118;1.221287;0.818808;0.801994;32.000000;0.574067;88.656000;0.795428;-1.709599e-01;9.598870e-01
14;F-11904a-x40-06.tif;1840;748.064130;429.976087;43.076530;56.243839;1.125243;1.305672;0.765889;0.740590;52.000000;0.642973;161.301000;0.709839;-2.035201e-01;9.322496e-01
15;F-11904a-x40-06.tif;1361;743.299780;494.277002;38.685652;45.593390;1.064635;1.178561;0.848493;0.833613;49.000000;0.529207;134.938000;0.715109;-1.194486e+00;9.725849e-01
16;F-11904a-x40-06.tif;2691;786.381643;473.458194;51.176572;69.991795;1.318510;1.367653;0.731180;0.699406;295.000000;0.682185;211.156000;0.681266;-3.896058e-01;9.105513e-01
17;F-11904a-x40-06.tif;1227;766.036675;747.779951;33.428748;46.935715;1.006194;1.404052;0.712224;0.709166;26.000000;0.701952;124.557000;0.681057;-9.792775e-01;9.858871e-01
18;F-11904a-x40-06.tif;1625;804.324308;261.504615;40.389860;51.314304;0.993547;1.270475;0.787107;0.785754;30.000000;0.616816;142.438000;0.718876;-2.708482e-01;9.720251e-01
19;F-11904a-x40-06.tif;1054;799.240987;432.870019;29.275054;46.619112;1.130187;1.592452;0.627962;0.617480;50.000000;0.778244;122.349000;0.742879;-6.325399e-01;9.722826e-01
20;F-11904a-x40-06.tif;1376;824.398983;629.329215;33.459028;57.879345;1.433659;1.729857;0.578082;0.522975;152.000000;0.815978;157.448000;0.680225;-7.162863e-01;9.468933e-01
21;F-11904a-x40-06.tif;2080;856.487981;297.305769;42.470215;63.737105;1.190742;1.500748;0.666334;0.651912;98.000000;0.745653;176.419000;0.693385;-7.970030e-02;9.216264e-01
22;F-11904a-x40-06.tif;1467;847.043626;465.504431;36.440434;51.456985;1.049275;1.412085;0.708173;0.705426;40.000000;0.706039;139.080000;0.674798;-9.317422e-01;9.445205e-01
23;F-11904a-x40-06.tif;1452;898.219697;383.654270;39.596307;46.960670;0.986673;1.185986;0.843180;0.838317;22.000000;0.537631;134.176000;0.710520;-1.157016e+00;9.407827e-01
24;F-11904a-x40-06.tif;1985;899.467506;334.536524;46.810830;54.267119;0.988491;1.159286;0.862600;0.858217;34.000000;0.505886;157.026000;0.755367;-7.839280e-01;9.575020e-01
25;F-11904a-x40-06.tif;677;945.010340;615.147710;28.401404;31.718125;1.155941;1.116780;0.895431;0.856809;51.000000;0.445200;99.167000;0.532062;-2.765783e-02;6.625127e-01
