No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;682;505.923754;561.837243;24.424235;36.907105;1.255954;1.511085;0.661776;0.637492;55.000000;0.749702;103.749000;0.608949;2.255772e-01;8.773635e-01
2;F-11333-x40-04.tif;862;683.055684;453.938515;24.976523;45.772781;1.479994;1.832632;0.545663;0.523845;71.000000;0.838005;126.616000;0.572881;2.774320e-01;7.363919e-01
3;F-11333-x40-04.tif;1772;757.932844;195.598194;39.045500;72.092756;2.548725;1.846378;0.541601;0.434101;649.000000;0.840636;238.231000;0.547975;2.700953e-01;7.145619e-01
4;F-11333-x40-04.tif;356;752.609551;228.904494;15.353973;34.061081;1.671480;2.218389;0.450778;0.390700;74.000000;0.892636;86.473000;0.526544;3.421874e-01;6.411837e-01
5;F-11333-x40-04.tif;945;783.239153;230.048677;32.592217;40.008870;1.630609;1.227559;0.814625;0.751674;163.000000;0.579988;139.154000;0.522276;3.338726e-01;5.944733e-01
6;F-11333-x40-04.tif;1682;822.051724;166.021998;37.290474;60.726976;1.380775;1.628485;0.614068;0.580728;198.000000;0.789253;170.836000;0.573719;3.421640e-01;6.982278e-01
7;F-11333-x40-04.tif;900;854.674444;641.191111;28.697961;41.711552;1.255055;1.453467;0.688010;0.658628;74.000000;0.725701;119.140000;0.545669;3.577812e-01;6.486736e-01
8;F-11333-x40-04.tif;1071;864.091503;169.873950;33.493047;41.696979;1.156126;1.244944;0.803249;0.784315;60.000000;0.595644;124.739000;0.549570;4.231131e-01;6.652734e-01
9;F-11333-x40-04.tif;1362;904.412628;190.747430;39.048062;48.179276;1.542380;1.233846;0.810474;0.747079;219.000000;0.585774;162.476000;0.546200;3.370486e-01;6.409140e-01
10;F-11333-x40-04.tif;1253;932.228252;215.628093;33.313462;52.372790;1.660392;1.572121;0.636083;0.581634;217.000000;0.771620;161.691000;0.525538;2.645476e-01;6.244434e-01
11;F-11333-x40-04.tif;1894;1033.968321;626.037487;37.730008;68.673536;1.649059;1.820130;0.549411;0.511342;304.000000;0.835552;198.113000;0.539332;1.670709e-01;6.813970e-01
