No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;3190;165.123197;267.912853;48.202284;138.338844;4.769523;2.869965;0.348436;0.212233;2046.000000;0.937332;437.258000;0.744776;6.108073e-02;9.790484e-01
2;F-11333-x40-04.tif;4765;291.459182;189.769570;54.925387;138.921262;4.182756;2.529272;0.395371;0.314366;2129.000000;0.918522;500.458000;0.777657;4.210943e-02;9.792715e-01
3;F-11333-x40-04.tif;1126;364.680284;153.433393;36.821615;40.403373;1.280636;1.097273;0.911350;0.878240;80.000000;0.411632;134.613000;0.732637;5.117086e-03;9.634370e-01
4;F-11333-x40-04.tif;467;390.276231;257.329764;19.925574;43.190191;2.689129;2.167576;0.461345;0.318755;217.000000;0.887221;125.623000;0.703265;1.103382e-01;9.717259e-01
5;F-11333-x40-04.tif;4630;416.991793;307.919870;64.413219;141.137686;7.283818;2.191129;0.456386;0.295941;2570.000000;0.889782;650.991000;0.741867;9.878578e-02;9.863833e-01
6;F-11333-x40-04.tif;4291;496.254020;107.160569;69.798119;106.590242;3.244107;1.527122;0.654827;0.480877;2151.000000;0.755779;418.246000;0.726499;5.808957e-02;9.852930e-01
7;F-11333-x40-04.tif;1529;486.775016;752.047744;41.781239;47.635874;1.431556;1.140126;0.877096;0.857925;150.000000;0.480315;165.849000;0.563135;1.268864e-01;9.444059e-01
8;F-11333-x40-04.tif;597;512.874372;586.914573;17.570494;55.215011;2.637210;3.142485;0.318220;0.249327;241.000000;0.948017;140.658000;0.528860;1.019081e-01;9.620989e-01
9;F-11333-x40-04.tif;1218;545.234811;623.688834;37.132793;50.859075;2.304838;1.369654;0.730111;0.599543;362.000000;0.683328;187.823000;0.406093;1.393755e-01;9.464874e-01
10;F-11333-x40-04.tif;6713;595.216744;512.747803;85.737626;139.656095;4.125228;1.628878;0.613920;0.438235;3629.000000;0.789368;589.912000;0.581048;0;9.497832e-01
11;F-11333-x40-04.tif;2163;581.962552;597.498844;44.038815;83.557262;2.740922;1.897355;0.527050;0.394456;911.000000;0.849835;272.949000;0.553922;4.393755e-01;7.189506e-01
12;F-11333-x40-04.tif;4406;683.126192;628.958693;52.711327;150.502256;4.436296;2.855217;0.350236;0.247667;2096.000000;0.936661;495.607000;0.589824;4.841228e-01;7.321227e-01
13;F-11333-x40-04.tif;5997;678.949141;438.858429;79.303187;131.846002;5.063416;1.662556;0.601483;0.439248;2820.000000;0.798885;617.723000;0.599805;4.382440e-01;7.827564e-01
14;F-11333-x40-04.tif;1072;664.483209;521.852612;36.035424;40.056324;1.400932;1.111582;0.899619;0.850673;144.000000;0.436676;137.376000;0.651627;5.469576e-01;7.870276e-01
15;F-11333-x40-04.tif;861;716.054588;242.653891;28.434779;40.499877;1.239529;1.424308;0.702095;0.668353;91.000000;0.712083;115.807000;0.545331;4.862056e-01;6.653749e-01
16;F-11333-x40-04.tif;1291;731.136328;448.363284;39.052820;42.272467;1.020862;1.082443;0.923836;0.919859;40.000000;0.382789;128.692000;0.639125;5.637142e-01;7.929748e-01
17;F-11333-x40-04.tif;1071;768.168067;393.451914;35.532427;39.780040;1.262882;1.119542;0.893223;0.861726;121.000000;0.449615;130.371000;0.627793;5.437659e-01;7.345790e-01
18;F-11333-x40-04.tif;1352;770.456361;326.357988;39.024698;44.238482;1.016846;1.133602;0.882144;0.879602;44.000000;0.470980;131.438000;0.590345;5.300996e-01;7.802421e-01
19;F-11333-x40-04.tif;3031;801.693500;588.434840;46.009960;86.280950;1.407635;1.875267;0.533257;0.518401;243.000000;0.845953;231.549000;0.611244;5.003171e-01;8.394258e-01
20;F-11333-x40-04.tif;2820;816.318085;354.162057;44.869782;95.785842;2.224726;2.134752;0.468439;0.391342;794.000000;0.883496;280.781000;0.604114;5.287916e-01;7.237641e-01
21;F-11333-x40-04.tif;2314;831.191876;282.691443;51.573033;88.820011;3.628912;1.722218;0.580647;0.373467;1314.000000;0.814156;324.844000;0.599684;5.179011e-01;7.732797e-01
22;F-11333-x40-04.tif;1205;814.734440;435.117012;37.567599;41.048172;1.033022;1.092648;0.915208;0.910562;41.000000;0.402983;125.070000;0.640555;5.463506e-01;7.783589e-01
23;F-11333-x40-04.tif;2087;857.974605;637.414950;44.043217;60.921833;1.122564;1.383228;0.722946;0.715957;81.000000;0.690904;171.582000;0.548825;4.689853e-01;6.771899e-01
24;F-11333-x40-04.tif;1202;861.532446;584.542429;34.803814;44.387730;1.096876;1.275370;0.784086;0.776763;59.000000;0.620652;128.717000;0.623586;5.413889e-01;7.153496e-01
25;F-11333-x40-04.tif;2838;884.394292;546.174419;40.819950;94.350735;1.550881;2.311388;0.432641;0.405912;319.000000;0.901567;235.180000;0.613394;5.109280e-01;7.681824e-01
